Date,Gold Price VN,Silver Price VN,Silver Price International,Difference Between Gold Price VN & Silver Price VN
2024-07-12,12059122,1110000.0,30.79,10949122.0
2024-07-15,12137798,1110000.0,30.68,11027798.0
2024-07-16,12189046,1110000.0,31.25,11079046.0
2024-07-17,12155723,1110000.0,30.31,11045723.0
2024-07-18,12109872,1090000.0,29.83,11019872.0
2024-07-19,11920359,1060000.0,29.22,10860359.0
2024-07-22,11826980,1030000.0,29.13,10796980.0
2024-07-23,11898870,1025000.0,29.23,10873870.0
2024-07-24,11758265,1065000.0,28.9,10693265.0
2024-07-25,11803339,1025000.0,27.85,10778339.0
2024-07-26,11707578,985000.0,27.93,10722578.0
2024-07-29,11617113,1000000.0,27.86,10617113.0
2024-07-30,11665834,985000.0,28.39,10680834.0
2024-07-31,11715961,1000000.0,29.0,10715961.0
2024-08-01,11555165,1000000.0,28.52,10555165.0
2024-08-02,11574366,1000000.0,28.56,10574366.0
2024-08-05,11615956,977500.0,27.24,10638456.0
2024-08-06,11372222,950000.0,26.97,10422222.0
2024-08-07,11350596,940000.0,26.61,10410596.0
2024-08-08,11488129,952500.0,27.54,10535629.0
2024-08-09,11479343,965000.0,27.46,10514343.0
2024-08-12,11376295,975000.0,27.96,10401295.0
2024-08-13,11375437,985000.0,27.85,10390437.0
2024-08-14,11337222,987500.0,27.57,10349722.0
2024-08-15,11420303,985416.6666666667,28.36,10434886.333333334
2024-08-16,11326385,983333.3333333334,29.04,10343051.666666666
2024-08-19,11462152,1010000.0,29.45,10452152.0
2024-08-20,11303300,1022500.0,29.44,10280800.0
2024-08-21,11462507,1015000.0,29.61,10447507.0
2024-08-22,11355408,1009712.5,28.98,10345695.5
2024-08-23,11417841,1004425.0,29.83,10413416.0
2024-08-26,11422164,1033500.0,29.91,10388664.0
2024-08-27,11619474,1047600.0,29.97,10571874.0
2024-08-28,11630546,1038666.6666666666,29.13,10591879.333333334
2024-08-29,11536796,1040000.0,29.42,10496796.0
2024-08-30,11621766,1044000.0,28.87,10577766.0
2024-09-02,11537070,1020000.0,28.56,10517070.0
2024-09-03,11656503,1015000.0,28.04,10641503.0
2024-09-04,11603222,995000.0,28.27,10608222.0
2024-09-05,11827895,1006666.6666666666,28.82,10821228.333333334
2024-09-06,11708954,1018000.0,27.94,10690954.0
2024-09-09,11863875,985000.0,28.35,10878875.0
2024-09-10,11870875,997666.6666666666,28.4,10873208.333333334
2024-09-11,11791952,1006666.6666666666,28.68,10785285.333333334
2024-09-12,11808470,1010000.0,29.88,10798470.0
2024-09-13,11862040,1053000.0,30.72,10809040.0
2024-09-16,11888223,1077666.6666666667,30.74,10810556.333333334
2024-09-17,11944363,1068500.0,30.7,10875863.0
2024-09-18,11983748,1055000.0,30.08,10928748.0
2024-09-19,12055511,1041857.1428571428,30.78,11013653.857142856
2024-09-20,12044075,1054666.6666666667,31.18,10989408.333333334
2024-09-23,11963021,1044000.0,30.7,10919021.0
2024-09-24,12090944,1042000.0,32.1,11048944.0
2024-09-25,12005691,1071000.0,31.81,10934691.0
2024-09-26,12075828,1108250.0,32.01,10967578.0
2024-09-27,12020087,1100250.0,31.63,10919837.0
2024-09-30,12194408,1093500.0,31.16,11100908.0
2024-10-01,12139959,1086000.0,31.44,11053959.0
2024-10-02,12098492,1092800.0,31.83,11005692.0
2024-10-03,12207626,1107000.0,32.03,11100626.0
2024-10-04,12041199,1124000.0,32.2,10917199.0
2024-10-07,12106003,1125428.5714285714,31.68,10980574.42857143
2024-10-08,12073487,1106250.0,30.67,10967237.0
2024-10-09,12123870,1078500.0,30.5,11045370.0
2024-10-10,12018282,1080000.0,31.16,10938282.0
2024-10-11,12135992,1095000.0,31.54,11040992.0
2024-10-14,11987294,1101000.0,31.2,10886294.0
2024-10-15,11902572,1099600.0,31.51,10802972.0
2024-10-16,12024051,1119500.0,31.68,10904551.0
2024-10-17,12002595,1127000.0,31.69,10875595.0
2024-10-18,11951429,1138000.0,33.72,10813429.0
2024-10-21,11852831,1227500.0,33.78,10625331.0
2024-10-22,11947265,1253400.0,34.86,10693865.0
2024-10-23,11932561,1272500.0,33.7,10660061.0
2024-10-24,11867189,1250000.0,33.68,10617189.0
2024-10-25,11867978,1239000.0,33.72,10628978.0
2024-10-28,11922817,1229250.0,33.68,10693567.0
2024-10-29,11782902,1248571.4285714286,34.46,10534330.57142857
2024-10-30,11923555,1263500.0,33.78,10660055.0
2024-10-31,11856251,1248500.0,32.66,10607751.0
2024-11-01,11793176,1210666.6666666667,32.45,10582509.333333334
2024-11-04,11831019,1210000.0,32.45,10621019.0
2024-11-05,11760321,1203500.0,32.65,10556821.0
2024-11-06,11914973,1197000.0,31.18,10717973.0
2024-11-07,11849208,1143333.3333333333,32.04,10705874.666666666
2024-11-08,11725833,1177500.0,31.31,10548333.0
2024-11-11,11941326,1155916.6666666665,30.69,10785409.333333334
2024-11-12,11811519,1134333.3333333333,30.72,10677185.666666666
2024-11-13,11842370,1148500.0,30.31,10693870.0
2024-11-14,11824098,1127333.3333333333,30.44,10696764.666666666
2024-11-15,11768934,1134000.0,30.26,10634934.0
2024-11-18,11851228,1138000.0,31.18,10713228.0
2024-11-19,11845870,1160000.0,31.21,10685870.0
2024-11-20,11740154,1159500.0,30.86,10580654.0
2024-11-21,11855672,1158666.6666666667,30.79,10697005.333333334
2024-11-22,11811201,1155500.0,31.35,10655701.0
2024-11-25,11808977,1149000.0,30.3,10659977.0
2024-11-26,11725321,1126750.0,30.44,10598571.0
2024-11-27,11719322,1135000.0,30.1,10584322.0
2024-11-28,11845062,1109800.0,30.23,10735262.0
2024-11-29,11747025,1134250.0,30.62,10612775.0
2024-12-02,11829319,1123000.0,30.51,10706319.0
2024-12-03,11827340,1141200.0,31.03,10686140.0
2024-12-04,11748511,1146333.3333333333,31.3,10602177.666666666
2024-12-05,11658720,1150333.3333333333,31.34,10508386.666666666
2024-12-06,11738901,1147666.6666666667,30.97,10591234.333333334
2024-12-09,11668698,1136666.6666666667,31.83,10532031.333333334
2024-12-10,11531604,1172200.0,31.9,10359404.0
2024-12-11,11727639,1168250.0,31.91,10559389.0
2024-12-12,11703955,1176500.0,30.98,10527455.0
2024-12-13,11612918,1139000.0,30.56,10473918.0
2024-12-16,11698158,1127750.0,30.53,10570408.0
2024-12-17,11571985,1129875.0,30.53,10442110.0
2024-12-18,11458521,1132000.0,29.36,10326521.0
2024-12-19,11453146,1093000.0,29.04,10360146.0
2024-12-20,11585726,1075333.3333333333,29.51,10510392.666666666
2024-12-23,11516223,1103250.0,29.65,10412973.0
2024-12-24,11567972,1104000.0,29.62,10463972.0
2024-12-26,11506548,1102500.0,29.82,10404048.0
2024-12-27,11472049,1107500.0,29.39,10364549.0
