Date,Gold Price VN,Silver Price VN,Silver Price International,RSI Index,Correlation Value
2024-07-12,11764422,1110000.0,30.79,53.56535056094322,
2024-07-15,11920264,1110000.0,30.68,53.745134424933276,
2024-07-16,11726272,1110000.0,31.25,45.510594161708525,
2024-07-17,11827168,1110000.0,30.31,52.5236408721589,
2024-07-18,11790073,1090000.0,29.83,47.23983514131186,
2024-07-19,11829453,1060000.0,29.22,49.84626276227295,
2024-07-22,11862846,1030000.0,29.13,47.05688948235581,
2024-07-23,11823973,1025000.0,29.23,54.607841157521406,
2024-07-24,11837079,1065000.0,28.9,54.03698366696404,
2024-07-25,11901403,1025000.0,27.85,53.85552855708987,
2024-07-26,11849491,985000.0,27.93,57.99536473615995,
2024-07-29,11704658,1000000.0,27.86,46.68941591070043,
2024-07-30,11920210,985000.0,28.39,55.16818731693483,
2024-07-31,11806006,1000000.0,29.0,50.97934678548059,
2024-08-01,11846027,1000000.0,28.52,53.281465760244096,
2024-08-02,11725294,1000000.0,28.56,41.93214677641739,
2024-08-05,11767917,977500.0,27.24,51.97006466750871,
2024-08-06,11850690,950000.0,26.97,51.13214775967395,
2024-08-07,11762633,940000.0,26.61,48.74103492068153,
2024-08-08,11750566,952500.0,27.54,46.28756926071393,
2024-08-09,11895379,965000.0,27.46,51.38569083500938,
2024-08-12,11819113,975000.0,27.96,49.79938643621149,
2024-08-13,11842824,985000.0,27.85,50.235086820488604,
2024-08-14,11879244,987500.0,27.57,49.07205701914179,
2024-08-15,7800000,985416.6666666667,28.36,11.221555787553214,
2024-08-16,7800000,983333.3333333334,29.04,11.541708788996488,
2024-08-19,7810000,1010000.0,29.45,7.808793060547757,
2024-08-20,7900000,1022500.0,29.44,9.704712127439379,
2024-08-21,7900000,1015000.0,29.61,8.952906844540351,
2024-08-22,7900000,1009712.5,28.98,9.183576349335269,0.11389822826436136
2024-08-23,7900000,1004425.0,29.83,8.349939515664431,0.09427579549830722
2024-08-26,7900000,1033500.0,29.91,6.686520875204863,0.019113403463462707
2024-08-27,7900000,1047600.0,29.97,6.818168098036878,-0.0815671490348959
2024-08-28,7900000,1038666.6666666666,29.13,6.836613492707244,-0.20317029173760637
2024-08-29,7900000,1040000.0,29.42,3.7104800885893923,-0.334952593381938
2024-08-30,7900000,1044000.0,28.87,3.7772313135780706,-0.4443453274433969
2024-09-02,7900000,1020000.0,28.56,3.236026400586013,-0.49213341251294984
2024-09-03,7900000,1015000.0,28.04,2.392777258279253,-0.5307979612510653
2024-09-04,7900000,995000.0,28.27,100.0,-0.6440349367450067
2024-09-05,7850000,1006666.6666666666,28.82,66.66666666666666,-0.697521788375482
2024-09-06,7850000,1018000.0,27.94,64.28571428571428,-0.7009428041415671
2024-09-09,7850000,985000.0,28.35,0.0,-0.6879245486085036
2024-09-10,7850000,997666.6666666666,28.4,0.0,-0.6775047425576858
2024-09-11,7850000,1006666.6666666666,28.68,0.0,-0.697114386723824
2024-09-12,7850000,1010000.0,29.88,0.0,-0.7232974446126945
2024-09-13,7850000,1053000.0,30.72,0.0,-0.7425805414783562
2024-09-16,7850000,1077666.6666666667,30.74,0.0,-0.7086745662905132
2024-09-17,8000000,1068500.0,30.7,75.0,-0.6558807832754339
2024-09-18,8000000,1055000.0,30.08,75.0,-0.5925341438862449
2024-09-19,7980000,1041857.1428571428,30.78,68.18181818181819,-0.5206415915055943
2024-09-20,8000000,1054666.6666666667,31.18,70.83333333333334,-0.4304540166223523
2024-09-23,8000000,1044000.0,30.7,70.83333333333334,-0.3305139213605116
2024-09-24,8150000,1042000.0,32.1,82.05128205128206,-0.2088641959419058
2024-09-25,8150000,1071000.0,31.81,94.11764705882354,0.6142336171266793
2024-09-26,8150000,1108250.0,32.01,94.11764705882354,0.6804466667524798
2024-09-27,8170000,1100250.0,31.63,94.44444444444444,0.7174438751815717
2024-09-30,8170000,1093500.0,31.16,94.44444444444444,0.7460289542631915
2024-10-01,8200000,1086000.0,31.44,94.87179487179488,0.7644009782961275
2024-10-02,8200000,1092800.0,31.83,94.87179487179488,0.7839213167024068
2024-10-03,8220000,1107000.0,32.03,95.1219512195122,0.8073325703632509
2024-10-04,8230000,1124000.0,32.2,95.23809523809524,0.8305020145839928
2024-10-07,8230000,1125428.5714285714,31.68,92.5925925925926,0.8464329405122848
2024-10-08,8300000,1106250.0,30.67,94.11764705882354,0.8574035652106939
2024-10-09,8300000,1078500.0,30.5,100.0,0.8414534233330608
2024-10-10,8250000,1080000.0,31.16,85.71428571428571,0.8378384384779993
2024-10-11,8250000,1095000.0,31.54,85.71428571428571,0.8446718022437097
2024-10-14,8300000,1101000.0,31.2,80.0,0.8444267315386493
2024-10-15,8300000,1099600.0,31.51,80.0,0.8421273196412138
2024-10-16,8400000,1119500.0,31.68,85.71428571428571,0.8486243151348253
2024-10-17,8400000,1127000.0,31.69,84.84848484848484,0.8490240994450161
2024-10-18,8420000,1138000.0,33.72,85.71428571428571,0.8518385457947183
2024-10-21,8600000,1227500.0,33.78,90.0,0.8673261843419345
2024-10-22,8700000,1253400.0,34.86,91.66666666666667,0.8853129489900855
2024-10-23,8740000,1272500.0,33.7,91.93548387096774,0.8983730787142447
2024-10-24,8730000,1250000.0,33.68,90.3225806451613,0.9068308789978601
2024-10-25,8730000,1239000.0,33.72,90.3225806451613,0.9236275461659114
2024-10-28,8730000,1229250.0,33.68,89.0909090909091,0.9513608330514529
2024-10-29,8740000,1248571.4285714286,34.46,89.28571428571429,0.9588411825177616
2024-10-30,8830000,1263500.0,33.78,98.33333333333333,0.9631805627766812
2024-10-31,8760000,1248500.0,32.66,88.05970149253731,0.9645466724132896
2024-11-01,8780000,1210666.6666666667,32.45,87.5,0.9593537277280191
2024-11-04,8720000,1210000.0,32.45,80.0,0.9558879598675449
2024-11-05,8710000,1203500.0,32.65,75.40983606557377,0.9541842905233597
2024-11-06,8690000,1197000.0,31.18,73.01587301587301,0.9497179337492954
