Twitter Account,Twitter Handle,Content
Ansem,@blknoiz06,Ansem  @blknoiz06 · 2h Replying to  @motocap_ they should launch an events company and throw parties 19 2 35 3.7K
Ansem,@blknoiz06,Ansem  @blknoiz06 · 2h wow! Quote Naruto11.eth @naruto11eth · 5h end of an era. it was fun while it lasted. 125 28 387 68K
Ansem,@blknoiz06,Ansem  @blknoiz06 · 2h Replying to  @realitywarp correct take 7 27 3.2K
Ansem,@blknoiz06,Ansem  @blknoiz06 · 2h Replying to  @lurkaroundfind i dont disagree but wdyt about hella stocks just printing new all time highs 11 38 6.9K
Ansem,@blknoiz06,Ansem  @blknoiz06 · 2h Replying to  @vohvohh where are we supposed to go :( 83 4 210 14K
Ansem,@blknoiz06,Ansem  @blknoiz06 · 3h if we all focus hard enough we can manifest pumpdotfun flipping twitch bros 176 23 429 38K
Ansem,@blknoiz06,Ansem  @blknoiz06 · 3h Replying to  @chamathsintern 4 1 8 1.7K
Ansem,@blknoiz06,Ansem  @blknoiz06 · 3h Replying to  @KinkyBedBugs lmao 4 41 2.4K
Ansem,@blknoiz06,Ansem  @blknoiz06 · 3h Replying to  @dtrain22k  and  @goodalexander Dtrain22 coming in hot! 1 21 1.6K
Ansem,@blknoiz06,Ansem  @blknoiz06 · 3h Replying to  @0xsmac hey dude! 6 1 6 1.8K
Ansem,@blknoiz06,Ansem  @blknoiz06 · 4h Replying to  @random3637  and  @a1lon9 6 1 90 5.4K
Ansem,@blknoiz06,Ansem  @blknoiz06 · 4h Quote Zaza Man @Zazamyodor · Jun 3 Every real nigga had a lightskin bitch that almost ruined they life 52 5 90 28K
Ansem,@blknoiz06,Ansem  @blknoiz06 · 4h Replying to  @WestieCapital buy a SUPERYACHT 14 22 3.5K
Ansem,@blknoiz06,Ansem  @blknoiz06 · 4h Replying to  @mdudas LMAO 11 3 34 5.5K
Ansem,@blknoiz06,Ansem  @blknoiz06 · 4h Replying to  @RyanWatkins_ 3 1.4K
Ansem,@blknoiz06,"Ansem  @blknoiz06 · 5h http://pump.fun is: good for crypto bad for crypto 10,816 votes · 18 hours left 294 58 290 63K"
Ansem,@blknoiz06,Ansem  @blknoiz06 · 5h Replying to  @notanicecat69 wow! 7 1 56 7.2K
Ansem,@blknoiz06,Ansem  @blknoiz06 · 5h whyd ppl sell fartcoin on pump ico news 259 58 784 127K
Ansem,@blknoiz06,Ansem  @blknoiz06 · 5h Replying to  @izebel_eth isnt the $1B coming from VCs tho 11 1 44 6.3K
Ansem,@blknoiz06,Ansem  @blknoiz06 · 5h Replying to  @DonPleb • $4B val is fair considering how much they make • likely easy to fill round sunce they are #1 consumer app in crypto  • have flexibility to pivot towards more scam preventions + incentivizing userbase in future w/ so much $$$ at their disposal  • assume their plans are to Show more 10 5 39 3.4K
Ansem,@blknoiz06,Ansem  @blknoiz06 · 5h Replying to  @RHBcrypto 2 6 671
Ansem,@blknoiz06,Ansem  @blknoiz06 · 5h alon better pay gainzy 10M/year after raising a billy 123 18 503 62K
Ansem,@blknoiz06,Ansem  @blknoiz06 · 5h Replying to  @R89Capital  and  @randallrungood LMFAO 4 49 4K
Ansem,@blknoiz06,Ansem  @blknoiz06 · 6h Replying to  @SPCMNandHOBBES 3 18 2.6K
Ansem,@blknoiz06,Ansem  @blknoiz06 · 6h Replying to @joemaxbiddin and  @TheCryptoNexus i mean its very clear to me that their main priority is making as much money as possible i wasnt arguing ab that lol 4 1 8 670
Ansem,@blknoiz06,Ansem  @blknoiz06 · 6h Replying to  @lilybrodi ok but 2/3 isnt bad 6 20 2.6K
Ansem,@blknoiz06,Ansem  @blknoiz06 · 6h cant wait for the insta $PUMP perpetual futures listing on hyperliquid at four biiiilion dollas  hyperliquid 171 36 917 85K
Ansem,@blknoiz06,Ansem  @blknoiz06 · 6h Replying to  @b_potts23 lmao 1 4 1.4K
Ansem,@blknoiz06,Ansem  @blknoiz06 · 6h Replying to  @TheCryptoNexus when does revenue turn into extraction 26 2 39 7.8K
Ansem,@blknoiz06,Ansem  @blknoiz06 · 6h Replying to  @0x_Archy i hate your account 1 40 2.4K
Ansem,@blknoiz06,"Ansem  @blknoiz06 · 6h dont really understand why ct keeps saying extracted tho, they made this much revenue bc hella ppl use the app & arent changing their behaviors regardless of lack of any additional incentives  Quote CBB @Cbb0fe · 7h POV: you extracted $730m fees from your users and instead of giving them a big fat ass airdrop with most of the supply, you wanna extract $1b more for 25% 200 49 626 228K"
Ansem,@blknoiz06,Ansem  @blknoiz06 · 6h pump fun raising $1B at $4B after Trumpcoin launch is like the second plane hitting the towers 519 363 3.5K 271K
Ansem,@blknoiz06,Ansem  @blknoiz06 · 6h Replying to  @radiancebrr LMFAO 4 1 14 2K
Ansem,@blknoiz06,Ansem  @blknoiz06 · 6h yo 451 20 568 48K
Ansem,@blknoiz06,Ansem  @blknoiz06 · 6h Replying to  @factorydoge69 Quote Capital Flows @Globalflows · 14h When you realize its all the same trade GIF 3 1K
Ansem,@blknoiz06,Ansem  @blknoiz06 · 6h Replying to  @veinvariance  and  @GwartyGwart what do i think they will do? or what do i think they should do? 9 1 9 1.5K
Ansem,@blknoiz06,Ansem  @blknoiz06 · 6h Replying to  @gmoneyNFT to raise a billion dollars  16 5 157 11K
Ansem,@blknoiz06,Ansem  @blknoiz06 · 6h Replying to  @ibuyrugs 14 1 69 8.9K
Ansem,@blknoiz06,Ansem  @blknoiz06 · 7h Replying to  @GwartyGwart raise a billy & airdrop 750M  23 2 161 17K
Ansem,@blknoiz06,Ansem  @blknoiz06 · 8h Replying to  @CryptoGodJohn eric & d jr are not on that team tho 8 3 37 9.8K
Ansem,@blknoiz06,Ansem  @blknoiz06 · 8h Replying to  @champtgram gl! 4 6 2.8K
Ansem,@blknoiz06,Ansem  @blknoiz06 · 8h is this trump wallet thing real 425 22 737 114K
Ansem,@blknoiz06,Ansem  @blknoiz06 · 8h Replying to  @10piecedawg hyperliquid is like  2015-16 GSW if they didnt lose to lebron  AP on the Vikings in 2012  Lil Wayne on No Ceilings  Destiny's Child in the 90s  Atlanta Rap 2011-2014  Hillary Banks from Fresh Prince of Bel Air  Obama's first election win 18 8 104 5K
Ansem,@blknoiz06,Ansem  @blknoiz06 · 9h go ahead foo! Quote General Sar @GeneralSar · 9h bout to run ansem’s tweets through chatgpt smh x.com/blknoiz06/stat… 40 7 68 35K
Ansem,@blknoiz06,Ansem  @blknoiz06 · 9h Replying to  @bunjil  and  @Credib1eGuy brotha we need your services!!  @arjunbmohan 1 2 922
Ansem,@blknoiz06,Ansem  @blknoiz06 · 9h Replying to  @Credib1eGuy niggas dont even kno what it is! 6 27 2.6K
Ansem,@blknoiz06,"Ansem  @blknoiz06 · 9h broke: hyperliquid is just a dex w/ one validator  woke: hyperliquid is the most performant decentralized perps exchange w/ the upside of an L1 ecosystem attached  bespoke: hyperliquid will act as the backend for all perpetuals futures markets, facilitated by HIP-3, supercharged Show more Quote Flood @ThinkingUSD · 9h Tier 2 / Tier 3 CEXs may be too slow to realize that they’d have been much better off just becoming front ends for Hyperllquid. Their volumes and liquidity would go up considerably, while their costs would sharply decline. Instead of focusing on listings, market making contracts Show more 94 80 632 104K"
Ansem,@blknoiz06,Ansem  @blknoiz06 · 9h erewhon is like whole foods on crack 119 11 204 34K
Ansem,@blknoiz06,Ansem  @blknoiz06 · 9h lmao Quote Max @minordissent · 10h When i was a kid i thought all the old people were racist bc they were from a different time. Now I understand that all kids start anti racist but after 30+ years of evidence you eventually admit defeat. 44 3 59 34K
Ansem,@blknoiz06,Ansem  @blknoiz06 · 10h Replying to  @Caben_nft i played league before there were rankings you booty sniffer!! 6 1 9 618
Ansem,@blknoiz06,"Ansem  @blknoiz06 · 10h Replying to  @0xHammond $1,000,000,000,999,999 3 2 1.9K"
Ansem,@blknoiz06,Ansem  @blknoiz06 · 10h Replying to  @RtrdQuant  and  @0xnacci lmao 2 515
Ansem,@blknoiz06,Ansem  @blknoiz06 · 10h why do none of you believe i can type real words!!!! Quote suupermario.hl @suupermario27 · 11h Replying to @blknoiz06 Looks like copy paste from somewhere 108 10 124 40K
Ansem,@blknoiz06,Ansem  @blknoiz06 · 11h Replying to  @2suns2moons thanks! 6 14 1.6K
Ansem,@blknoiz06,Ansem  @blknoiz06 · 11h Replying to  @0xnacci every couple years ill give a trade or two 4 47 2.7K
Ansem,@blknoiz06,Ansem  @blknoiz06 · 11h Replying to  @belsasser84   @stormXBT  and 17 others yes 383
Ansem,@blknoiz06,Ansem  @blknoiz06 · 11h Replying to  @blknoiz06 hyperliquid update #4 [$37]  - will try to keep all thoughts on this coin here as I did w/ the solana thread as believe this will be leading beta to bitcoin if crypto continues to do well this year - first alt to reclaim ATHs and 4x off bottom from tariffs panic - was expecting Show more 64 57 551 53K
Ansem,@blknoiz06,"Ansem  @blknoiz06 · 12h better performance from 2025 to 2035 bitcoin nvidia 4,818 votes · 11 hours left 138 18 132 40K"
Ansem,@blknoiz06,Ansem  @blknoiz06 · 12h poll time Quote Rex @R89Capital · 12h If BTC doesn't outperform NVDA over the next 10 years it will be a massive disappointment 27 1 119 36K
Ansem,@blknoiz06,Ansem  @blknoiz06 · 12h Replying to  @goodalexander solo trip to india xbdjjdkamsksnxnnfbfjrkeleowoakzmxldll 8 27 4.9K
Ansem,@blknoiz06,Ansem  @blknoiz06 · 12h Replying to  @defidotapp no! 1 711
Ansem,@blknoiz06,Ansem  @blknoiz06 · 12h Replying to  @MagicEden gm 12 17 3.7K
Ansem,@blknoiz06,Ansem  @blknoiz06 · 12h Replying to  @EasyEatsBodega which alts easy! 58 12 79 15K
Ansem,@blknoiz06,Ansem  @blknoiz06 · 12h Replying to  @TrenchBuddy who are they? 2 11 1.1K
Ansem,@blknoiz06,Ansem  @blknoiz06 · 12h Replying to  @DougAntin   @stormXBT  and 18 others ok! 1 6 995
Ansem,@blknoiz06,Ansem  @blknoiz06 · 12h Replying to  @Cryptilt   @stormXBT  and 18 others great peeps! 2 3 856
Ansem,@blknoiz06,Ansem  @blknoiz06 · 13h Replying to  @AlmostDegenn   @stormXBT  and 17 others hey  @GunnisonCap  ! 1 401
Ansem,@blknoiz06,Ansem  @blknoiz06 · 13h Replying to  @heliyxm   @stormXBT  and 17 others its the most used app on the entire chain  ? 1 2 475
Ansem,@blknoiz06,Ansem  @blknoiz06 · 13h Replying to  @belsasser84   @stormXBT  and 17 others hype 1 5 676
Ansem,@blknoiz06,Ansem  @blknoiz06 · 13h Replying to  @Slumfy1 i ask great questions 1 8 800
Ansem,@blknoiz06,Ansem  @blknoiz06 · 13h Replying to  @0xcoinn  and  @CloutedMind fuck 14 8 34 1.3K
Ansem,@blknoiz06,Ansem  @blknoiz06 · 13h bring back mighty wings!! Quote philip lewis @Phil_Lewis_ · 13h McDonald's announces the return of the Snack Wrap to menus on July 10th: 86 11 117 34K
Ansem,@blknoiz06,"Ansem  @blknoiz06 · 14h nominating pio to be the next parabolic trav bro didnt even say bitcoin to gold parity he said bitcoin to 10X gold parity Quote Pio @piovincenzo_ · 14h Dudes will watch Bitcoin go from $1 to $100,000 in 15 years  And then say  “nah it won’t go up another 100X from here” 45 5 128 35K"
